region,destRegion,packetTransmit,packetReceive,packetLossCount,packetLossRate,rttMin,rttAvg,rttMax,rttMdev,packetDuplicateCount,packetDuplicateRate
NA,AS,100,100,0,0.0,153.792,153.947,154.449,0.42,0,0.0
NA,EU,100,100,0,0.0,182.187,182.547,183.628,0.459,0,0.0
NA,AS,100,100,0,0.0,183.042,183.255,195.276,1.288,0,0.0
NA,EU,100,100,0,0.0,158.852,159.08,160.758,0.235,0,0.0
NA,EU,100,100,0,0.0,145.039,145.118,145.859,0.275,0,0.0
NA,EU,100,100,0,0.0,175.69,175.843,176.638,0.449,0,0.0
NA,EU,100,100,0,0.0,169.666,170.089,171.079,0.59,0,0.0
NA,CN,100,55,45,45.0,235.921,236.085,236.634,0.459,0,0.0
NA,EU,100,100,0,0.0,157.291,158.947,186.726,4.108,0,0.0
NA,NA,100,100,0,0.0,110.753,111.356,112.279,0.404,0,0.0
NA,OC,100,100,0,0.0,152.167,152.577,154.477,0.566,0,0.0
NA,NA,100,100,0,0.0,77.816,78.173,83.461,0.76,0,0.0
NA,EU,100,100,0,0.0,183.066,183.215,184.297,0.62,0,0.0
NA,EU,100,100,0,0.0,146.109,146.492,146.75,0.455,0,0.0
NA,EU,100,100,0,0.0,179.503,180.036,184.088,0.538,0,0.0
NA,EU,100,100,0,0.0,167.402,167.491,168.033,0.513,0,0.0
NA,AS,100,100,0,0.0,181.269,182.583,186.317,0.714,0,0.0
NA,EU,100,100,0,0.0,200.302,201.412,207.907,1.05,0,0.0
NA,EU,100,100,0,0.0,150.885,150.97,151.235,0.49,0,0.0
NA,NA,100,100,0,0.0,74.529,74.709,75.004,0.363,0,0.0
NA,NA,100,100,0,0.0,19.726,22.243,32.634,2.803,0,0.0
NA,EU,100,100,0,0.0,139.842,140.079,143.349,0.651,0,0.0
NA,EU,100,100,0,0.0,162.329,162.458,163.164,0.333,0,0.0
NA,EU,100,100,0,0.0,164.432,164.661,167.865,0.64,0,0.0
NA,EU,100,100,0,0.0,198.438,200.869,277.418,9.203,0,0.0
NA,EU,100,100,0,0.0,172.901,173.065,174.008,0.292,0,0.0
NA,EU,100,100,0,0.0,153.859,154.007,154.719,0.222,0,0.0
NA,NA,100,100,0,0.0,66.989,67.236,68.618,0.307,0,0.0
NA,AS,100,100,0,0.0,171.102,171.279,171.743,0.542,0,0.0
NA,EU,100,100,0,0.0,156.913,157.419,161.191,0.593,0,0.0
NA,NA,100,100,0,0.0,60.804,60.999,62.212,0.284,0,0.0
NA,NA,100,100,0,0.0,63.983,64.134,66.536,0.301,0,0.0
NA,EU,100,100,0,0.0,188.803,188.875,189.238,0.163,0,0.0
NA,EU,100,100,0,0.0,160.539,160.618,160.735,0.465,0,0.0
NA,EU,100,69,31,31.0,165.785,166.336,169.295,0.55,0,0.0
NA,EU,100,100,0,0.0,157.642,164.396,212.081,9.976,0,0.0
NA,AS,100,100,0,0.0,185.688,185.911,188.939,0.445,0,0.0
NA,EU,100,100,0,0.0,148.744,148.863,149.981,0.421,0,0.0
NA,EU,100,100,0,0.0,185.598,185.8,189.645,0.713,0,0.0
NA,NA,100,100,0,0.0,11.789,12.468,18.483,1.112,0,0.0
NA,EU,100,100,0,0.0,160.773,161.171,162.387,0.479,0,0.0
NA,EU,100,100,0,0.0,166.605,166.84,177.849,1.163,0,0.0
NA,NA,100,100,0,0.0,23.729,24.103,25.789,0.38,0,0.0
NA,NA,100,100,0,0.0,120.963,127.004,142.413,3.695,0,0.0
NA,EU,100,100,0,0.0,177.453,177.552,177.81,0.491,0,0.0
NA,NA,100,100,0,0.0,71.277,71.582,73.315,0.438,0,0.0
NA,AS,100,100,0,0.0,108.045,108.708,111.748,0.715,0,0.0
NA,NA,100,100,0,0.0,185.653,185.753,186.274,0.542,0,0.0
NA,AS,100,100,0,0.0,150.144,150.351,151.661,0.259,0,0.0
NA,EU,100,100,0,0.0,176.881,176.977,179.385,0.613,0,0.0
NA,NA,100,100,0,0.0,49.856,52.744,72.354,3.41,0,0.0
NA,EU,100,100,0,0.0,175.883,175.972,176.305,0.547,0,0.0
NA,EU,100,100,0,0.0,166.222,166.3,166.924,0.47,0,0.0
NA,AS,100,100,0,0.0,141.52,141.815,142.607,0.433,0,0.0
NA,AS,100,100,0,0.0,131.961,132.161,133.4,0.543,0,0.0
NA,NA,100,100,0,0.0,28.987,31.515,38.828,1.974,0,0.0
NA,AS,100,100,0,0.0,145.438,147.557,155.197,1.54,0,0.0
NA,NA,100,100,0,0.0,76.269,76.366,76.621,0.276,0,0.0
NA,EU,100,100,0,0.0,143.364,143.549,146.698,0.385,0,0.0
NA,NA,100,100,0,0.0,71.559,72.064,77.95,1.224,0,0.0
NA,NA,100,100,0,0.0,157.796,157.877,158.579,0.463,0,0.0
NA,NA,100,100,0,0.0,51.64,51.746,54.437,0.404,0,0.0
NA,AS,100,100,0,0.0,177.864,181.189,190.84,4.397,0,0.0
NA,EU,100,100,0,0.0,154.386,154.508,155.064,0.457,0,0.0
NA,EU,100,100,0,0.0,148.536,148.647,149.474,0.334,0,0.0
NA,AS,100,100,0,0.0,182.53,182.67,183.79,0.45,0,0.0
NA,NA,100,100,0,0.0,13.858,13.917,14.052,0.127,0,0.0
NA,NA,100,100,0,0.0,26.533,30.985,46.178,2.82,0,0.0
NA,EU,100,100,0,0.0,158.532,158.646,159.618,0.548,0,0.0
NA,NA,100,100,0,0.0,20.061,23.055,30.228,2.466,0,0.0
NA,EU,100,100,0,0.0,162.895,163.433,189.505,2.765,0,0.0
NA,NA,100,100,0,0.0,41.181,41.271,42.616,0.304,0,0.0
NA,NA,100,100,0,0.0,1.803,2.011,2.705,0.137,0,0.0
NA,EU,100,100,0,0.0,152.363,152.559,154.493,0.544,0,0.0
NA,EU,100,100,0,0.0,165.664,165.758,166.105,0.42,0,0.0
NA,AS,100,100,0,0.0,145.699,147.269,149.098,1.191,0,0.0
NA,NA,100,100,0,0.0,82.953,85.525,93.371,2.094,0,0.0
NA,OC,100,100,0,0.0,160.448,160.805,163.211,0.642,0,0.0
NA,AS,100,100,0,0.0,193.18,193.312,193.854,0.253,0,0.0
NA,EU,100,100,0,0.0,166.059,166.245,167.653,0.437,0,0.0
NA,AS,100,100,0,0.0,186.318,186.895,195.521,1.346,0,0.0
NA,EU,100,100,0,0.0,161.325,161.616,164.531,0.544,0,0.0
NA,NA,100,100,0,0.0,150.289,150.413,152.792,0.524,0,0.0
NA,NA,100,100,0,0.0,9.169,11.508,175.316,16.535,0,0.0
NA,EU,100,100,0,0.0,151.391,151.533,151.953,0.173,0,0.0
NA,EU,100,100,0,0.0,160.468,160.597,161.38,0.276,0,0.0
NA,NA,100,100,0,0.0,77.623,77.811,79.903,0.3,0,0.0
NA,EU,100,100,0,0.0,148.747,148.879,151.003,0.564,0,0.0
NA,EU,100,100,0,0.0,149.285,152.988,170.6,4.844,0,0.0
NA,EU,100,100,0,0.0,150.85,151.044,155.12,0.703,0,0.0
NA,EU,100,100,0,0.0,189.775,189.904,191.926,0.218,0,0.0
NA,NA,100,100,0,0.0,84.041,90.784,101.348,2.939,0,0.0
NA,EU,100,100,0,0.0,166.082,166.203,166.638,0.301,0,0.0
NA,EU,100,98,2,2.0,162.863,163.798,165.758,1.021,0,0.0
NA,EU,100,100,0,0.0,236.282,236.679,254.692,1.926,0,0.0
NA,NA,100,100,0,0.0,1.868,2.242,7.218,0.75,0,0.0
NA,EU,100,100,0,0.0,149.969,150.147,154.574,0.545,0,0.0
NA,AS,100,100,0,0.0,174.669,175.198,175.365,0.143,0,0.0
NA,NA,100,100,0,0.0,89.965,92.485,102.942,2.051,0,0.0
NA,NA,100,99,1,1.0,83.177,95.006,140.955,11.62,0,0.0
NA,EU,100,100,0,0.0,144.646,145.54,158.4,2.669,0,0.0
NA,EU,100,100,0,0.0,146.61,146.715,147.025,0.303,0,0.0
NA,EU,100,100,0,0.0,166.273,166.357,166.653,0.419,0,0.0
NA,NA,100,100,0,0.0,78.302,207.831,278.122,90.809,0,0.0
NA,EU,100,100,0,0.0,163.747,164.174,166.236,0.662,0,0.0
NA,EU,100,100,0,0.0,152.262,152.448,155.937,0.498,0,0.0
NA,OC,100,100,0,0.0,143.24,143.533,144.706,0.503,0,0.0
NA,NA,100,100,0,0.0,66.56,70.881,87.642,3.191,0,0.0
NA,EU,100,100,0,0.0,188.117,189.131,197.348,2.005,0,0.0
NA,EU,100,100,0,0.0,156.371,156.537,157.855,0.375,0,0.0
NA,EU,100,97,3,3.0,145.845,146.513,152.088,1.618,0,0.0
NA,NA,100,100,0,0.0,1.757,1.882,2.292,8.6e-2,0,0.0
NA,EU,100,96,4,4.0,159.804,159.942,160.848,0.433,0,0.0
NA,EU,100,100,0,0.0,165.308,171.095,255.844,12.204,0,0.0
NA,AS,100,100,0,0.0,173.881,174.293,177.595,0.624,0,0.0
